MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62813418138504
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62799225107828
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62798137139214
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",4000,-79.81431431749132
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",4000,-79.81254218292236
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",4000,-79.80612768944634
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",4000,-79.76007048399184
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",4000,-79.69767856267293
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64353223851522
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",4000,-79.62120958574083
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",4000,-79.58867464472453
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",4000,-79.5855284342448
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",4000,-79.62586909951104
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",4000,-79.63495011393229
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",4000,-79.63932870313856
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",4000,-79.63957990171644
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64025987701416
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",4000,-79.641377371894
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64186102600098
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64221338780722
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64253776050144
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",4000,-79.6424033951902
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",4000,-79.64206912019517
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",8000,-79.82128275850084
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",8000,-79.81934716584948
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",8000,-79.81239311074151
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",8000,-79.76659479768541
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",8000,-79.70549460372925
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",8000,-79.6513059694926
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",8000,-79.62979916093614
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",8000,-79.59687817560831
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",8000,-79.59365404713948
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",8000,-79.63106754684448
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",8000,-79.63983164681329
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",8000,-79.6447325062222
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64425013156468
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64464256625705
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64612561484442
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64614691602918
