Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,CNH,250,0,-93.39973209360376+/-0
orbformer_finetune_joint_tm_512k,CNH,250,1,-93.39366513505976+/-0
orbformer_finetune_joint_tm_512k,CNH,250,2,-93.4000293432793+/-0
orbformer_finetune_joint_tm_512k,CNH,250,3,-93.42185164690872+/-0
orbformer_finetune_joint_tm_512k,CNH,250,4,-93.29235031430832+/-0
orbformer_finetune_joint_tm_512k,CNH,250,5,-93.33773465037896+/-0
orbformer_finetune_joint_tm_512k,CNH,250,6,-93.40884736210705+/-0
orbformer_finetune_joint_tm_512k,CNH,250,7,-93.4029700006276+/-0
orbformer_finetune_joint_tm_512k,CNH,250,8,-93.415368296129+/-0
orbformer_finetune_joint_tm_512k,CNH,250,9,-93.41184635506971+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,0,-93.39824302902484+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,1,-93.39110405598726+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,2,-93.39600366439525+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,3,-93.41932424825079+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,4,-93.28955599022525+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,5,-93.33791760770289+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,6,-93.4083260438849+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,7,-93.3979371106023+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,8,-93.41012094173283+/-0
orbformer_finetune_joint_tm_512k,CNH,1000,9,-93.4078148744513+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,0,-93.40531083511398+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,1,-93.39700212856623+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,2,-93.4021556252831+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,3,-93.42490469822258+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,4,-93.29339082920943+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,5,-93.34274266432438+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,6,-93.41527161253906+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,7,-93.40368938236223+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,8,-93.41623888143548+/-0
orbformer_finetune_joint_tm_512k,CNH,4000,9,-93.41418201315045+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,0,-93.40577098394124+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,1,-93.3979466872325+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,2,-93.40275504172344+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,3,-93.42549779148605+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,4,-93.29497925701949+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,5,-93.34349880437544+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,6,-93.41548061847719+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,7,-93.40444300633938+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,8,-93.41786585961098+/-0
orbformer_finetune_joint_tm_512k,CNH,8000,9,-93.41519649207287+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,0,-93.40602126427184+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,1,-93.39810259936114+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,2,-93.40282640441735+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,3,-93.42539874198809+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,4,-93.2952857444864+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,5,-93.34469565567613+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,6,-93.41581002110854+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,7,-93.40580645554287+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,8,-93.41816844860071+/-0
orbformer_finetune_joint_tm_512k,CNH,16000,9,-93.41512575028094+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,0,-93.4061820306374+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,1,-93.39857867584335+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,2,-93.40311208268747+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,3,-93.42604773391542+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,4,-93.2959461995164+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,5,-93.34472740126671+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,6,-93.41601981814047+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,7,-93.4059088241737+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,8,-93.41835241955482+/-0
orbformer_finetune_joint_tm_512k,CNH,32000,9,-93.4154697907544+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,0,-167.81375340281832+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,1,-167.2143496384047+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,2,-167.93014832838338+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,3,-167.61413004932544+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,4,-167.41932136906345+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,5,-167.92159133300999+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,6,-168.1158486648643+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,7,-168.0343762247367+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,8,-167.31505448720367+/-0
orbformer_finetune_joint_tm_512k,CNOH,0,9,-167.92534359815875+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,0,-168.57626468666317+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,1,-168.56332543191482+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,2,-168.59991404530226+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,3,-168.50519303921163+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,4,-168.54408606364166+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,5,-168.57057720567445+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,6,-168.5862384591364+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,7,-168.588928627426+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,8,-168.52308145376537+/-0
orbformer_finetune_joint_tm_512k,CNOH,250,9,-168.59321478661914+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,0,-168.60502479830282+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,1,-168.59232127987613+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,2,-168.63447679431076+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,3,-168.54880924106828+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,4,-168.57868017850973+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,5,-168.60142548983106+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,6,-168.6160926138827+/-0
